evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201005081749,-74.98,-101.52,2010-05-08T17:49:08.000000Z,0.76,2.13,2.43,2010-05-08T17:49:12.000000Z,-75.10,-100.62,B,False,False,,
201110081329,-75.11,-100.45,2011-10-08T13:29:11.000000Z,0.73,3.18,2.33,2011-10-08T13:29:06.000000Z,-74.65,-100.30,B,False,False,-84.00,318929749472.42
201110081722,-74.96,-99.55,2011-10-08T17:22:22.000000Z,0.68,3.07,2.40,2011-10-08T17:22:28.000000Z,-75.18,-98.88,C,False,False,92.00,359200572114.90
201110160859,-75.24,-99.46,2011-10-16T08:59:12.000000Z,0.70,3.24,2.29,2011-10-16T08:59:06.000000Z,-74.65,-100.30,C,False,False,78.00,321254288252.75
201110180303,-75.11,-99.46,2011-10-18T03:03:50.000000Z,0.80,5.66,2.35,2011-10-18T03:03:54.000000Z,-75.18,-98.88,B,False,False,94.00,334351252945.56
201111021407,-74.69,-99.63,2011-11-02T14:07:38.000000Z,0.83,2.78,2.32,2011-11-02T14:07:44.000000Z,-74.65,-100.30,C,False,False,-30.00,264785704970.41
201305221224,-74.89,-99.15,2013-05-22T12:24:45.000000Z,0.81,5.64,2.71,2013-05-22T12:24:44.000000Z,-74.73,-98.62,C,False,False,-96.00,668753070660.81
201306212133,-74.85,-99.04,2013-06-21T21:33:02.000000Z,0.79,5.39,2.68,2013-06-21T21:33:02.000000Z,-74.73,-98.62,B,False,False,,
201311090724,-74.98,-99.73,2013-11-09T07:24:51.000000Z,0.85,4.62,2.08,2013-11-09T07:24:50.000000Z,-74.65,-100.30,C,False,False,110.00,126733336239.28
201311101916,-75.00,-99.84,2013-11-10T19:16:40.000000Z,0.88,4.45,2.17,2013-11-10T19:16:52.000000Z,-75.10,-100.62,B,False,False,-70.00,154346387808.71
201311151324,-74.95,-99.81,2013-11-15T13:24:15.000000Z,0.82,4.61,2.27,2013-11-15T13:24:12.000000Z,-74.65,-100.30,C,False,False,-66.00,249709126297.07
201311191246,-75.12,-99.65,2013-11-19T12:46:17.000000Z,0.86,2.53,2.43,2013-11-19T12:46:08.000000Z,-74.65,-100.30,B,False,False,-66.00,278515548008.16
201311210728,-74.92,-99.43,2013-11-21T07:28:51.000000Z,0.83,4.39,2.14,2013-11-21T07:28:50.000000Z,-74.73,-98.62,B,False,False,,
201311230422,-74.97,-99.46,2013-11-23T04:22:04.000000Z,0.85,4.58,2.27,2013-11-23T04:22:12.000000Z,-75.18,-98.88,B,False,False,,
201507220611,-75.47,-99.06,2015-07-22T06:11:28.000000Z,0.80,6.63,2.17,2015-07-22T06:11:38.000000Z,-75.62,-99.16,B,False,False,-50.00,152143618638.88
201507221740,-75.34,-99.89,2015-07-22T17:40:36.000000Z,0.74,6.59,2.10,2015-07-22T17:40:24.000000Z,-74.73,-98.62,B,False,False,,
201512280546,-75.44,-102.07,2015-12-28T05:46:14.000000Z,0.81,5.04,2.51,2015-12-28T05:46:18.000000Z,-75.45,-102.72,B,False,False,120.00,429781773139.38
201601030457,-75.45,-102.35,2016-01-03T04:57:45.000000Z,0.84,6.78,2.69,2016-01-03T04:57:50.000000Z,-75.45,-102.72,A,False,False,-62.00,729847635913.32
201601101923,-75.46,-102.18,2016-01-10T19:23:27.000000Z,0.78,6.80,2.32,2016-01-10T19:23:30.000000Z,-75.45,-102.72,A,False,False,88.00,353394437730.99
201601170202,-75.45,-101.98,2016-01-17T02:01:56.000000Z,0.83,6.77,2.61,2016-01-17T02:02:04.000000Z,-75.54,-100.95,A,False,False,-46.00,604547584186.34
201605071638,-75.47,-102.37,2016-05-07T16:38:30.000000Z,0.78,9.03,2.15,2016-05-07T16:38:32.000000Z,-75.45,-102.72,B,False,False,110.00,252062014605.23
201605120855,-75.42,-102.79,2016-05-12T08:55:36.000000Z,0.77,5.98,2.19,2016-05-12T08:55:42.000000Z,-75.45,-102.72,B,False,False,-4.00,268616971493.11
201605191558,-75.47,-102.46,2016-05-19T15:58:20.000000Z,0.83,9.00,2.15,2016-05-19T15:58:24.000000Z,-75.45,-102.72,B,False,False,-84.00,279669884142.96
201804041720,-75.30,-99.77,2018-04-04T17:20:42.000000Z,0.78,3.35,2.35,2018-04-04T17:20:28.000000Z,-74.65,-100.30,C,False,False,-18.00,223843518232.52
201804050741,-75.34,-99.89,2018-04-05T07:41:51.000000Z,0.85,3.38,2.42,2018-04-05T07:41:48.000000Z,-75.10,-100.62,B,False,False,-52.00,239465609352.50
