evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201004081006,-76.02,-106.56,2010-04-08T10:06:34.000000Z,0.78,1.61,2.37,2010-04-08T10:06:22.000000Z,-75.78,-104.93,B,False,False,,
201005081749,-74.98,-101.52,2010-05-08T17:49:08.000000Z,0.76,2.13,2.43,2010-05-08T17:49:12.000000Z,-75.10,-100.62,B,False,False,,
201006010156,-80.65,159.30,2010-06-01T01:56:43.000000Z,0.77,6.85,2.48,2010-06-01T01:56:46.000000Z,-80.70,159.78,B,True,False,,
201006171002,-75.21,-107.85,2010-06-17T10:02:05.000000Z,0.86,2.29,2.46,2010-06-17T10:02:06.000000Z,-75.09,-107.88,A,False,False,14.00,192120526249.63
201012040308,,,2010-12-04T03:07:55.000000Z,0.76,2.01,2.13,2010-12-04T03:08:02.000000Z,-74.35,-105.26,B,False,False,,
201012051521,-75.38,-106.93,2010-12-05T15:21:04.000000Z,0.79,2.32,2.17,2010-12-05T15:21:02.000000Z,-75.22,-106.19,A,False,False,-26.00,188963703600.34
201012150852,-74.72,-137.18,2010-12-15T08:52:18.000000Z,0.92,1.96,2.61,2010-12-15T08:52:14.000000Z,-74.46,-137.39,A,False,False,164.00,537251831481.71
201012200336,-75.63,-108.29,2010-12-20T03:36:20.000000Z,0.73,2.13,2.22,2010-12-20T03:36:34.000000Z,-75.95,-109.03,A,False,False,,
201101081003,-74.72,-137.18,2011-01-08T10:03:15.000000Z,0.90,1.96,2.75,2011-01-08T10:03:10.000000Z,-74.46,-137.39,A,False,False,162.00,615693668982.76
201101140140,-73.10,-103.21,2011-01-14T01:40:30.000000Z,0.88,1.69,2.78,2011-01-14T01:40:00.000000Z,-72.27,-101.89,B,False,False,24.00,270630078039.17
201104171613,-75.16,-107.04,2011-04-17T16:13:52.000000Z,0.82,5.74,2.37,2011-04-17T16:13:58.000000Z,-75.09,-107.88,B,False,False,-34.00,233082064476.57
201105071609,-75.40,-106.96,2011-05-07T16:09:20.000000Z,0.79,6.13,2.49,2011-05-07T16:09:16.000000Z,-75.22,-106.19,A,False,False,102.00,264727471170.27
201105081633,-75.29,-106.55,2011-05-08T16:33:56.000000Z,0.84,3.69,2.44,2011-05-08T16:33:56.000000Z,-75.22,-106.19,A,False,False,168.00,260858172568.87
201105210831,-75.52,-107.86,2011-05-21T08:31:09.000000Z,0.91,2.24,2.46,2011-05-21T08:31:16.000000Z,-75.52,-108.43,A,False,False,16.00,300220910960.16
201105241518,-75.45,-107.29,2011-05-24T15:18:47.000000Z,0.91,3.38,2.61,2011-05-24T15:18:40.000000Z,-75.22,-106.19,A,False,False,150.00,263758471201.01
201106111648,-75.25,-107.14,2011-06-11T16:48:19.000000Z,0.81,3.71,2.38,2011-06-11T16:48:20.000000Z,-75.22,-106.19,A,False,False,,
201107030144,-75.34,-107.81,2011-07-03T01:44:43.000000Z,0.80,3.91,2.57,2011-07-03T01:44:56.000000Z,-75.52,-108.43,A,False,False,,
201107101048,-75.49,-107.63,2011-07-10T10:48:48.000000Z,0.91,4.05,3.00,2011-07-10T10:48:42.000000Z,-75.09,-107.88,A,False,False,168.00,679449864290.06
201108070509,-77.20,-115.79,2011-08-07T05:09:32.000000Z,0.85,5.76,2.23,2011-08-07T05:09:38.000000Z,-77.29,-115.64,A,False,False,,
201108150125,-73.85,-119.80,2011-08-15T01:25:20.000000Z,0.91,2.13,2.45,2011-08-15T01:25:16.000000Z,-73.61,-120.14,A,False,False,8.00,299597251921.10
201109292223,-74.00,-120.01,2011-09-29T22:23:44.000000Z,0.91,2.17,2.71,2011-09-29T22:23:36.000000Z,-73.61,-120.14,A,False,False,,
201110081329,-75.11,-100.45,2011-10-08T13:29:11.000000Z,0.73,3.18,2.33,2011-10-08T13:29:06.000000Z,-74.65,-100.30,B,False,False,-84.00,318929749472.42
201110081722,-74.96,-99.55,2011-10-08T17:22:22.000000Z,0.68,3.07,2.40,2011-10-08T17:22:28.000000Z,-75.18,-98.88,C,False,False,92.00,359200572114.90
201110160859,-75.24,-99.46,2011-10-16T08:59:12.000000Z,0.70,3.24,2.29,2011-10-16T08:59:06.000000Z,-74.65,-100.30,C,False,False,78.00,321254288252.75
201110180303,-75.11,-99.46,2011-10-18T03:03:50.000000Z,0.80,5.66,2.35,2011-10-18T03:03:54.000000Z,-75.18,-98.88,B,False,False,94.00,334351252945.56
201111021407,-74.69,-99.63,2011-11-02T14:07:38.000000Z,0.83,2.78,2.32,2011-11-02T14:07:44.000000Z,-74.65,-100.30,C,False,False,-30.00,264785704970.41
201111031025,-75.32,-109.11,2011-11-03T10:24:53.000000Z,0.77,5.64,2.48,2011-11-03T10:25:00.000000Z,-75.52,-108.43,C,False,False,,
201112090048,-73.93,-119.48,2011-12-09T00:48:46.000000Z,0.85,2.53,2.41,2011-12-09T00:48:42.000000Z,-73.61,-120.14,A,False,False,10.00,424969590840.89
201112212002,-74.36,-134.35,2011-12-21T20:01:42.000000Z,0.90,2.19,2.16,2011-12-21T20:02:02.000000Z,-74.79,-133.78,A,False,False,170.00,277238893535.86
201201131344,-76.71,-149.32,2012-01-13T13:44:33.000000Z,0.88,2.68,3.20,2012-01-13T13:44:37.000004Z,-76.64,-149.04,A,True,False,-118.00,818709030445.59
201201131427,-76.58,-149.54,2012-01-13T14:27:07.000000Z,0.91,2.65,3.62,2012-01-13T14:27:15.000004Z,-76.64,-149.04,A,True,False,-134.00,1728836305577.77
201204101714,-75.46,-107.12,2012-04-10T17:14:06.000000Z,0.72,6.17,2.52,2012-04-10T17:14:10.000000Z,-75.66,-106.70,C,False,True,-136.00,493702682762.57
201206010507,-76.72,-149.41,2012-06-01T05:06:59.000000Z,0.91,2.68,5.11,2012-06-01T05:07:04.000000Z,-76.64,-149.04,A,True,False,-30.00,57883866925205.55
201206010946,-76.82,-149.02,2012-06-01T09:46:00.000000Z,0.86,2.71,3.09,2012-06-01T09:46:02.000000Z,-76.64,-149.04,A,False,False,,
201206012015,-76.32,-150.30,2012-06-01T20:15:39.000000Z,0.75,2.57,2.55,2012-06-01T20:15:30.000000Z,-75.86,-150.95,C,True,False,,
201208030606,-76.40,163.76,2012-08-03T06:06:15.000000Z,0.83,2.36,3.48,2012-08-03T06:06:28.000000Z,-76.66,164.05,B,False,False,-60.00,1293445702754.30
201208260216,-75.12,-106.34,2012-08-26T02:15:58.000000Z,0.65,5.43,2.14,2012-08-26T02:16:04.000000Z,-75.22,-106.19,C,False,False,,
201209061239,-76.72,-149.19,2012-09-06T12:39:21.000000Z,0.90,2.23,3.09,2012-09-06T12:39:26.000000Z,-76.64,-149.04,A,False,False,48.00,749340453420.40
201210020237,-75.56,-109.07,2012-10-02T02:37:45.000000Z,0.73,6.74,2.35,2012-10-02T02:37:48.000000Z,-75.52,-108.43,B,False,False,-170.00,267483801621.70
201210022200,-74.58,-136.86,2012-10-02T22:00:43.000000Z,0.81,2.13,2.36,2012-10-02T22:00:42.000000Z,-74.46,-137.39,C,False,False,,
